year,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
India,41.995,41.749,41.484,41.2,40.898,40.587,40.274,39.968,39.672,39.388,39.108,38.822,38.521,38.202,37.866,37.528,37.205,36.909,36.643,36.401,36.167,35.918,35.631,35.289,34.886,34.418,33.89,33.32,32.726,32.121,31.517,30.924,30.348,29.792,29.258,28.749,28.262,27.789,27.324,26.861,26.401,25.944,25.489,25.034,24.571,24.087,23.564,22.996,22.39,21.755,21.114,20.495,19.923,19.416,18.984,18.625,18.332,18.083,17.857
USA,23.7,23.3,22.4,21.7,21.1,19.4,18.4,17.8,17.6,17.9,18.4,17.2,15.6,14.8,14.8,14.6,14.6,15.1,15,15.6,15.9,15.8,15.9,15.6,15.6,15.8,15.6,15.7,16,16.4,16.7,16.2,15.8,15.4,15,14.6,14.4,14.2,14.3,14.2,14.4,14.1,14,14.1,14,14,14.3,14.3,14,13.5,13,12.7,12.6,12.4,12.5,12.4,12.2,11.8,11.6
Madagascar,48.704,48.594,48.485,48.383,48.292,48.217,48.162,48.122,48.093,48.069,48.047,48.022,47.988,47.936,47.856,47.73,47.541,47.284,46.968,46.603,46.21,45.819,45.454,45.137,44.88,44.689,44.563,44.483,44.429,44.384,44.339,44.284,44.21,44.104,43.95,43.725,43.409,42.998,42.498,41.918,41.275,40.591,39.893,39.206,38.547,37.923,37.334,36.769,36.222,35.697,35.204,34.753,34.348,33.989,33.673,33.392,33.138,32.897,32.657
World,31.75268168,31.03141787,34.88311508,36.05599883,34.94747431,34.33291064,33.30251779,33.03560298,33.18136483,32.66948777,32.37312853,31.56895463,31.07080601,30.4514111,29.60586425,28.98159272,28.1478624,27.82246052,27.55214339,27.41342502,27.42153175,27.89183179,28.0919775,27.48725861,27.22171197,27.25404242,27.33203863,27.27541927,26.79034963,26.27368544,25.87852389,25.21406743,24.58223731,24.18254049,23.80441951,23.36793984,23.07914553,22.74925519,22.33649439,21.91053365,21.64935052,21.30735376,21.05398669,20.83856764,20.68509563,20.55149276,20.40002278,20.30626869,20.19549159,20.0026241,19.78140725,19.5996337,19.48581288,19.27786814,19.19549139,18.97547559,18.9627177,18.63349326,18.17484976
